iteration,avg_loss,best_reward,avg_episode_return,avg_episode_length
227,5.234211683273315,479.28474769375634,185.52343260076964,336.6
228,16.401638507843018,479.28474769375634,192.23456463356516,351.6
229,15.916599035263062,479.28474769375634,199.57818748799437,363.8
230,20.181963443756104,479.28474769375634,211.08765953522985,394.5
231,14.271247625350952,479.28474769375634,187.04644102987905,350.9
232,16.12104868888855,479.28474769375634,191.60141560670345,357.2
233,17.382625102996826,479.28474769375634,181.81739077004835,329.9
234,12.906894207000732,479.28474769375634,186.7728194531556,337.3
235,13.862745523452759,479.28474769375634,186.96291577105075,339.0
236,10.242512702941895,479.28474769375634,182.36901449327834,333.8
237,12.57323694229126,479.28474769375634,183.01954292965348,335.6
238,13.183909177780151,479.28474769375634,181.76197651059618,333.1
239,18.555304050445557,479.28474769375634,177.7544285803087,326.3
240,8.886069297790527,479.28474769375634,180.19157751609683,335.4
241,12.376640796661377,479.28474769375634,195.72271997797597,363.1
242,15.085796117782593,479.28474769375634,181.2920996104344,335.7
243,20.445220947265625,479.28474769375634,194.23610023804875,357.9
244,9.157553672790527,479.28474769375634,168.4885349574335,311.1
245,7.040069818496704,479.28474769375634,190.1532256893046,347.0
246,14.378339767456055,479.28474769375634,188.20036830375375,344.6
247,21.66916036605835,479.28474769375634,201.65251432931922,366.4
248,13.965839147567749,479.28474769375634,190.93386240660158,349.2
249,14.719746589660645,479.28474769375634,179.67599207710256,329.4
250,12.458033323287964,479.28474769375634,178.07212701422878,324.3
251,6.3140645027160645,479.28474769375634,191.15893475406423,346.9
252,6.744765281677246,479.28474769375634,214.5321639541449,387.2
253,17.27711582183838,479.28474769375634,220.02620998647086,399.3
254,16.590062618255615,479.28474769375634,224.96011702856646,408.3
255,19.62741708755493,479.28474769375634,194.10004321870903,353.3
256,16.159750938415527,479.28474769375634,182.81478921692616,332.1
257,15.370666742324829,479.28474769375634,175.07536830232556,319.6
258,6.538889408111572,479.28474769375634,187.97749230522655,340.9
259,15.28696608543396,479.28474769375634,198.01330084127105,359.0
260,18887.746215820312,479.28474769375634,227.73821308764735,436.0
261,127.8938217163086,479.28474769375634,228.0358564140105,436.0
262,20.343478202819824,479.28474769375634,208.82129484494877,402.8
263,31.670610427856445,479.28474769375634,202.42203304557486,393.2
264,4.438870906829834,479.28474769375634,168.91082268423918,310.5
265,139.26362991333008,479.28474769375634,197.43767148142624,366.2
266,25.571757316589355,479.28474769375634,197.6143408852107,364.4
267,5.657697081565857,479.28474769375634,208.48932715632412,384.1
268,4.84780478477478,479.28474769375634,227.45223385225017,415.2
